"url","desc","time_string","hour","min","sec","time","type","total_time_in_secs","x"
"https://www.guinnessworldrecords.com/world-records/513378-fastest-marathon-dressed-as-a-three-dimensional-plant-male","Fastest marathon dressed as a three dimensional plant (male)","4 hr 51 min 5 sec",4,51,5,"4:51:05","full",17465,0.989081063580353
"https://www.guinnessworldrecords.com/world-records/435649-fastest-marathon-dressed-as-a-mountain-climber-male","Fastest marathon dressed as a mountain climber (male)","4 hr 19 min 48 sec",4,19,48,"4:19:48","full",15588,0.986081045883283
"https://www.guinnessworldrecords.com/world-records/108460-fastest-marathon-dressed-as-a-mythical-creature-male","Fastest marathon dressed as a mythical creature (male)","3 hr 44 min 48 sec",3,44,48,"3:44:48","full",13488,1.07486826415806
"https://www.guinnessworldrecords.com/world-records/513158-fastest-marathon-dressed-as-a-badminton-player-male","Fastest marathon dressed as a badminton player (male)","3 hr 29 min 24 sec",3,29,24,"3:29:24","full",12564,0.951391086246558
"https://www.guinnessworldrecords.com/world-records/111991-fastest-marathon-in-a-baseball-uniform","Fastest marathon dressed in a baseball uniform (male)","2 hr 56 min 46 sec",2,56,46,"2:56:46","full",10606,1.02960449447304
"https://www.guinnessworldrecords.com/world-records/508315-fastest-marathon-dressed-in-full-quidditch-kit-male","Fastest marathon dressed in full Quidditch kit (male)","4 hr 2 min 31 sec",4,2,31,"4:02:31","full",14551,1
"https://www.guinnessworldrecords.com/world-records/410829-fastest-marathon-dressed-in-a-ghillie-suit-female","Fastest marathon dressed in a ghillie suit (female)","3 hr 59 min 13 sec",3,59,13,"3:59:13","full",14353,1.14693354433948
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-dressed-in-an-ice-hockey-kit-(male)","Fastest marathon dressed in an ice hockey kit (male)","4 hr 8 min 43 sec",4,8,43,"4:08:43","full",14923,0.929307547874579
"https://www.guinnessworldrecords.com/world-records/369169-fastest-marathon-dressed-in-a-rugby-kit","Fastest marathon dressed in a rugby kit (male)","3 hr 14 min 53 sec",3,14,53,"3:14:53","full",11693,0.962503633541045
"https://www.guinnessworldrecords.com/world-records/92625-fastest-marathon-in-an-american-football-kit","Fastest marathon dressed in an American football kit (male)","3 hr 33 min 42 sec",3,33,42,"3:33:42","full",12822,1.05543302979285
"https://www.guinnessworldrecords.com/world-records/539459-fastest-marathon-dressed-in-a-football-soccer-kit-male","Fastest marathon dressed in a football/soccer kit (male)","3 hr 28 min 34 sec",3,28,34,"3:28:34","full",12514,1.03794619451726
