"url","desc","time_string","hour","min","sec","time","type","total_time_in_secs","outfit","last_update"
"https://www.guinnessworldrecords.com/world-records/528572-fastest-marathon-dressed-as-a-battery-male","Fastest marathon dressed as a battery (male)","2 hr 59 min 57.6 sec",2,59,57.6,"2:59:57.6","full",10797.6,"battery (male)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-dressed-as-elvis","Fastest marathon dressed as Elvis (male)","2 hr 42 min 52 sec",2,42,52,"2:42:52","full",9772,"Elvis (male)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/106372-fastest-marathon-dressed-as-a-ninja","Fastest marathon dressed as a ninja (male)","4 hr 17 min 50 sec",4,17,50,"4:17:50","full",15470,"ninja (male)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-dressed-as-a-cartoon-character","Fastest marathon dressed as a cartoon character","2 hr 46 min 40 sec",2,46,40,"2:46:40","full",10000,"cartoon character",2020-09-06
"https://www.guinnessworldrecords.com/world-records/567234-fastest-marathon-dressed-as-a-devil-male","Fastest marathon dressed as a devil (male)","3 hrs 28 min 52 sec",3,28,52,"3:28:52","full",12532,"devil (male)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/570589-fastest-marathon-dressed-as-a-vampire-female","Fastest marathon dressed as a vampire (female)","4 hr 13 min 50 sec",4,13,50,"4:13:50","full",15230,"vampire (female)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/118371-fastest-marathon-dressed-as-a-zookeeper-female","Fastest marathon dressed as a zookeeper (female)","4 hr 8 min 17 sec",4,8,17,"4:08:17","full",14897,"zookeeper (female)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/112081-fastest-marathon-dressed-as-a-boxer-female","Fastest marathon dressed as a boxer (female)","3 hr 52 min 27 sec",3,52,27,"3:52:27","full",13947,"boxer (female)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/465500-fastest-marathon-dressed-as-a-supervillain-male","Fastest marathon dressed as a supervillain (male)","3 hr 2 min 2 sec",3,2,2,"3:02:02","full",10922,"supervillain (male)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-dressed-as-a-zombie","Fastest marathon dressed as a zombie (male)","2 hr 43 min 54 sec",2,43,54,"2:43:54","full",9834,"zombie (male)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-dressed-as-a-doctor-(female)","Fastest marathon dressed as a doctor (female)","3 hr 13 min 23 sec",3,13,23,"3:13:23","full",11603,"doctor (female)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/358955-fastest-marathon-dressed-as-a-lifeguard-female","Fastest marathon dressed as a lifeguard (female)","3 hr 31 min 6 sec",3,31,6,"3:31:06","full",12666,"lifeguard (female)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/509134-fastest-marathon-dressed-as-a-zombie-female","Fastest marathon dressed as a zombie (female)","3 hr 39 min 25 sec",3,39,25,"3:39:25","full",13165,"zombie (female)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/483299-fastest-marathon-dressed-as-a-cavewoman-female","Fastest marathon dressed as a caveperson (female)","3 hr 35 min 20 sec",3,35,20,"3:35:20","full",12920,"caveperson (female)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/110400-fastest-marathon-dressed-as-a-monarch-male","Fastest marathon dressed as a monarch (male)","3 hr 39 min 10 sec",3,39,10,"3:39:10","full",13150,"monarch (male)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/375150-fastest-marathon-dressed-as-elvis-female","Fastest marathon dressed as Elvis (female)","3 hr 49 min 53 sec",3,49,53,"3:49:53","full",13793,"Elvis (female)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/553670-fastest-marathon-dressed-as-a-scientist-male","Fastest marathon dressed as a scientist (male)","3 hr 22 min 51 sec",3,22,51,"3:22:51","full",12171,"scientist (male)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/508977-fastest-marathon-dressed-as-a-mummy-male","Fastest marathon dressed as a mummy (male)","3 hr 59 min 4 sec",3,59,4,"3:59:04","full",14344,"mummy (male)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-dressed-as-a-fairy-(female)","Fastest marathon dressed as a fairy (female)","3 hr 12 min 57 sec",3,12,57,"3:12:57","full",11577,"fairy (female)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-dressed-as-a-crustacean-(male)","Fastest marathon dressed as a crustacean (male)","3 hrs 13 min 18 sec",3,13,18,"3:13:18","full",11598,"crustacean (male)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/373219-fastest-marathon-dressed-as-a%c2%a0car-male","Fastest marathon dressed as a car (male)","4 hrs 55 min 09 sec",4,55,9,"4:55:09","full",17709,"a car (male)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/96099-fastest-marathon-dressed-as-a-videogame-character","Fastest marathon dressed as a videogame character","2 hr 57 min 00 sec",2,57,0,"2:57:00","full",10620,"videogame character",2020-09-06
